Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
or,ReaderDirectedMetadiscourse,431525,40847,2425.94,95.62
", but",ReaderDirectedMetadiscourse,282210,38696,1586.52,90.58
. and,Reasoning,215145,29204,1209.50,68.36
people,CharacterTypes,206259,32557,1159.54,76.21
more,InformationComparison,145672,35039,818.94,82.02
but,ReaderDirectedMetadiscourse,144160,33712,810.44,78.91
because,Reasoning,139235,31476,782.75,73.68
two,InformationQuantities,122978,32246,691.36,75.48
also,ReaderDirectedMetadiscourse,110841,30709,623.12,71.88
know,ConfidenceHigh,79839,20654,448.84,48.35
most,InformationComparison,70578,27007,396.77,63.22
things,InformationQuantities,67488,22684,379.40,53.10
than,InformationComparison,66888,25853,376.03,60.52
. this,ReaderDirectedMetadiscourse,65018,24012,365.52,56.21
. so,Reasoning,63263,18841,355.65,44.10
another,ReaderDirectedMetadiscourse,60798,25352,341.79,59.34
president,CharacterTypes,57735,11024,324.57,25.81
", so",Reasoning,57585,22030,323.73,51.57
three,InformationQuantities,57544,22840,323.50,53.46
man,CharacterTypes,57384,16667,322.60,39.01
very,ConfidenceHigh,55915,21793,314.34,51.01
children,CharacterTypes,52176,13714,293.32,32.10
it is,ConfidenceHigh,51268,20872,288.22,48.86
maybe,ConfidenceHedged,50988,16234,286.64,38.00
women,CharacterTypes,49729,11736,279.57,27.47
this is,ReaderDirectedMetadiscourse,48349,18653,271.81,43.66
good,ExpertVocabulary,48244,20038,271.22,46.91
students,CharacterTypes,47926,6131,269.43,14.35
mr .,CharacterTypes,47898,9730,269.27,22.78
american,CharacterTypes,46557,14197,261.73,33.23
i mean,ReaderDirectedMetadiscourseFP,46323,11847,260.42,27.73
thing,InformationQuantities,43655,17078,245.42,39.98
percent,ExpertVocabulary,43012,10383,241.80,24.30
there,ReaderDirectedMetadiscourse,42458,18801,238.69,44.01
different,InformationComparison,41432,18340,232.92,42.93
", this",ReaderDirectedMetadiscourse,40733,19341,228.99,45.27
men,CharacterTypes,39550,12333,222.34,28.87
probably,ConfidenceHigh,35118,17060,197.43,39.93
it's a,ConfidenceHigh,35012,15314,196.83,35.85
least,InformationComparison,34299,18239,192.82,42.69
1,InformationQuantities,34259,10681,192.60,25.00
million,InformationQuantities,33753,11733,189.75,27.46
everything,Reasoning,33420,15303,187.88,35.82
right,ExpertVocabulary,31601,15530,177.65,36.35
information,ExpertVocabulary,31445,11255,176.78,26.35
mother,CharacterTypes,31431,9913,176.70,23.20
four,InformationQuantities,31254,15714,175.70,36.78
someone,InformationQuantities,30995,14287,174.25,33.44
others,ReaderDirectedMetadiscourse,30904,15682,173.74,36.71
guy,CharacterTypes,30779,10533,173.03,24.66
i have,ReaderDirectedMetadiscourseFP,30762,13673,172.94,32.01
more than,InformationComparison,29818,16949,167.63,39.67
father,CharacterTypes,29636,9240,166.61,21.63
i can,ConfidenceHedged,29615,12660,166.49,29.63
all the,Reasoning,29371,16223,165.12,37.98
program,ExpertVocabulary,29056,9759,163.35,22.84
sure,ConfidenceHigh,28972,12173,162.87,28.49
i don't know,ConfidenceHedged,28959,10382,162.80,24.30
2,InformationQuantities,28906,9888,162.50,23.15
", for",Reasoning,28656,15671,161.10,36.68
story,ExpertVocabulary,27833,11937,156.47,27.94
body,ExpertVocabulary,27527,10605,154.75,24.82
